Feature,Threshold
LLC_Miss_Rate,0.12707220762968063
LLC_Miss_Rate,0.1591377630829811
LLC_Miss_Rate,0.24667958170175552
Incoming_Req_Per_Cycle,0.001733786251861602
Incoming_Req_Per_Cycle,0.002101619029417634
Incoming_Req_Per_Cycle,0.0023307648953050375
Incoming_Req_Per_Cycle,0.0042841024696826935
Incoming_Req_Per_Cycle,0.005213532829657197
Incoming_Req_Per_Cycle,0.021508394740521908
Incoming_Req_Per_Cycle,0.06933464854955673
RB_Locality,0.49954910576343536
RB_Locality,0.5731595903635025
RB_Locality,0.6010532677173615
RB_Locality,0.660290539264679
RB_Locality,0.8576567769050598
RB_Locality,0.9264276027679443
RB_Locality,0.9443934857845306
RB_Locality,0.952454149723053
RB_Locality,0.9661392569541931
Traffic_Risk,7.477715553250164e-05
Traffic_Risk,8.029283344512805e-05
Traffic_Risk,0.0014560362906195223
Conflict_Load,0.04237288236618042
RB_Conflict_Rate,0.016297100111842155
